file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,08c21658,Kevin Souder,2025-01-15,12:51:11,-08:00,2025-01-15T12:51:11-08:00,0,13
style.css,53,css,5b011a93,Kevin Souder,2025-01-14,21:24:32,-08:00,2025-01-14T21:24:32-08:00,0,13
style.css,54,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,31
style.css,55,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,8
style.css,56,css,05b8e93a,Kevin Souder,2025-01-17,15:07:49,-08:00,2025-01-17T15:07:49-08:00,0,5
style.css,57,css,05b8e93a,Kevin Souder,2025-01-17,15:07:49,-08:00,2025-01-17T15:07:49-08:00,0,11
style.css,58,css,05b8e93a,Kevin Souder,2025-01-17,15:07:49,-08:00,2025-01-17T15:07:49-08:00,0,0
style.css,59,css,5b011a93,Kevin Souder,2025-01-14,21:24:32,-08:00,2025-01-14T21:24:32-08:00,0,0
style.css,60,css,5b011a93,Kevin Souder,2025-01-14,21:24:32,-08:00,2025-01-14T21:24:32-08:00,0,0
style.css,61,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,6
style.css,62,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,49
style.css,63,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,93
style.css,64,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,56
style.css,65,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,0
style.css,66,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,0
style.css,67,css,637d6726,Kevin Souder,2025-01-22,18:04:30,-08:00,2025-01-22T18:04:30-08:00,0,24
style.css,68,css,05b8e93a,Kevin Souder,2025-01-17,15:07:49,-08:00,2025-01-17T15:07:49-08:00,0,14
style.css,69,css,05b8e93a,Kevin Souder,2025-01-17,15:07:49,-08:00,2025-01-17T15:07:49-08:00,0,58
style.css,70,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,0
style.css,71,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,0
style.css,72,css,637d6726,Kevin Souder,2025-01-22,18:04:30,-08:00,2025-01-22T18:04:30-08:00,0,15
style.css,73,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,17
style.css,74,css,0083fb6b,Kevin Souder,2025-01-14,23:19:57,-08:00,2025-01-14T23:19:57-08:00,0,12
style.css,75,css,5b011a93,Kevin Souder,2025-01-14,21:24:32,-08:00,2025-01-14T21:24:32-08:00,0,0
style.css,76,css,5b011a93,Kevin Souder,2025-01-14,21:24:32,-08:00,2025-01-14T21:24:32-08:00,0,0
style.css,77,css,08c21658,Kevin Souder,2025-01-15,12:51:11,-08:00,2025-01-15T12:51:11-08:00,0,17
style.css,78,css,aa4fc00a,Kevin Souder,2025-01-15,13:02:31,-08:00,2025-01-15T13:02:31-08:00,0,10
style.css,79,css,aa4fc00a,Kevin Souder,2025-01-15,13:02:31,-08:00,2025-01-15T13:02:31-08:00,0,13
